,asin,title,author,soldBy,imgUrl,productURL,stars,reviews,price,isKindleUnlimited,category_id,isBestSeller,isEditorsPick,isGoodReadsChoice,publishedDate,category_name,Ranking,ranking_Parenting & Relationships,ranking_Engineering & Transportation,ranking_Science & Math,"ranking_Mystery, Thriller & Suspense","ranking_Crafts, Hobbies & Home",ranking_Literature & Fiction,ranking_Biographies & Memoirs,ranking_Computers & Technology,ranking_Politics & Social Sciences,ranking_Teen & Young Adult,ranking_Foreign Language,ranking_Science Fiction & Fantasy,ranking_Travel,ranking_LGBTQ+ eBooks,ranking_Religion & Spirituality,ranking_Arts & Photo graphy,ranking_Comics,ranking_Education & Teaching,ranking_History,"ranking_Cookbooks, Food & Wine",ranking_Nonfiction,ranking_Self-Help,ranking_Romance,ranking_Humor & Entertainment,ranking_Reference,"ranking_Health, Fitness & Dieting",ranking_Sports & Outdoors,ranking_Medical,ranking_Business & Money,ranking_Law,ranking_Children's eBooks
92279,B01GOOVBVC,Women Who Think Too Much: How to break free of overthinking and reclaim your life,Susan Nolen-Hoeksema,nan,https://m.media-amazon.com/images/I/81zo0RjTe-L._AC_UY218_.jpg,https://www.amazon.com/dp/B01GOOVBVC,4.3,1107,0.0,False,6,False,False,False,2016-08-04,Parenting & Relationships,92280,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92281,B07MJLKQWY,"Educação não violenta: Como estimular autoestima, autonomia, autodisciplina e resiliência em você e nas crianças (Portuguese Edition)",Elisama Santos,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81yk0cCAoIL._AC_UY218_.jpg,https://www.amazon.com/dp/B07MJLKQWY,4.8,1344,6.99,False,6,False,False,False,nan,Parenting & Relationships,92282,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92286,B09RKM1S2Z,Your Every Move: the creepy suspense thriller,Vanessa Garbin,Amazon.com Services LLC,https://m.media-amazon.com/images/I/71UCkJ+FGoL._AC_UY218_.jpg,https://www.amazon.com/dp/B09RKM1S2Z,4.1,1366,2.99,True,6,False,False,False,2022-01-30,Parenting & Relationships,92287,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92289,B00AXIZ4D2,Mother Daughter Me: A Memoir,Katie Hafner,Random House LLC,https://m.media-amazon.com/images/I/7186JCwGzDL._AC_UY218_.jpg,https://www.amazon.com/dp/B00AXIZ4D2,4.3,814,8.99,False,6,False,True,False,2013-07-02,Parenting & Relationships,92290,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92294,B009BZD3SG,Mummy’s Little Helper: The heartrending true story of a young girl secretly caring for her severely disabled mother,Casey Watson,HarperCollins Publishers,https://m.media-amazon.com/images/I/81M-NCb-+rL._AC_UY218_.jpg,https://www.amazon.com/dp/B009BZD3SG,4.7,880,12.99,False,6,False,False,False,2013-03-14,Parenting & Relationships,92295,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92296,B003F2QO64,The Male Brain,Louann Brizendine,nan,https://m.media-amazon.com/images/I/81ezGHAlHjL._AC_UY218_.jpg,https://www.amazon.com/dp/B003F2QO64,4.6,1066,0.0,False,6,False,False,False,2010-04-09,Parenting & Relationships,92297,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92298,B07B12GWH8,"Darling Amy: A Gripping True Story of Child Abuse, Betrayal and a Mother's Neglect (Skylark Child Abuse True Stories Book 5)",Kate Skylark,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81G9vVRwu5L._AC_UY218_.jpg,https://www.amazon.com/dp/B07B12GWH8,4.2,897,4.99,False,6,False,False,False,nan,Parenting & Relationships,92299,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92300,B07N6JRHP9,"Daddy's Little Soldier: When home is a war zone, who can little Tom trust? (A Maggie Hartley Foster Carer Story)",Maggie Hartley,Hachette Book Group,https://m.media-amazon.com/images/I/81EKYbveFjL._AC_UY218_.jpg,https://www.amazon.com/dp/B07N6JRHP9,4.7,1114,0.0,False,6,False,False,False,nan,Parenting & Relationships,92301,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92313,B00HZ3FV8G,"Health, Safety, and Nutrition for the Young Child",Lynn R Marotz,Cengage Learning,https://m.media-amazon.com/images/I/81bQEIhgB+L._AC_UY218_.jpg,https://www.amazon.com/dp/B00HZ3FV8G,4.6,992,41.99,False,6,False,False,False,2014-01-01,Parenting & Relationships,92314,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92323,B00CKUEVSK,Life's Journeys According to Mister Rogers: Things to Remember Along the Way,Fred Rogers,Hachette Book Group,https://m.media-amazon.com/images/I/71hT0r8SHsL._AC_UY218_.jpg,https://www.amazon.com/dp/B00CKUEVSK,4.8,938,11.99,False,6,False,False,False,2013-06-18,Parenting & Relationships,92324,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92328,B007FZXDD4,25 Ways to Win with People: How to Make Others Feel Like a Million Bucks,John C. Maxwell,HarperCollins Publishing,https://m.media-amazon.com/images/I/81sfyhjY2PL._AC_UY218_.jpg,https://www.amazon.com/dp/B007FZXDD4,4.7,615,14.49,False,6,False,False,False,2005-06-05,Parenting & Relationships,92329,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92331,B01LZD86LY,The Fireproof Girl (Sophie Shields Book 1),Loretta Lost,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81JlUZiodWL._AC_UY218_.jpg,https://www.amazon.com/dp/B01LZD86LY,4.1,3971,0.0,False,6,False,False,False,nan,Parenting & Relationships,92332,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92348,B06XGMWW46,Groomed: Danger lies closer than you think,Casey Watson,HarperCollins Publishers,https://m.media-amazon.com/images/I/81b3L1wpMmL._AC_UY218_.jpg,https://www.amazon.com/dp/B06XGMWW46,4.7,817,12.99,False,6,False,False,False,2017-10-05,Parenting & Relationships,92349,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92351,B06VWNDF2M,"Unsinkable Faith: God-Filled Strategies to Transform the Way You Think, Feel, and Live",Tracie Miles,Amazon.com Services LLC,https://m.media-amazon.com/images/I/914FWa5ah8L._AC_UY218_.jpg,https://www.amazon.com/dp/B06VWNDF2M,4.7,694,9.99,False,6,False,False,False,2017-04-01,Parenting & Relationships,92352,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92379,B08GC9W75W,Once Upon a Time in Silver Lake (Nothing Like I Imagined),Mindy Kaling,Amazon.com Services LLC,https://m.media-amazon.com/images/I/8154rBaXyoL._AC_UY218_.jpg,https://www.amazon.com/dp/B08GC9W75W,4.4,1573,1.99,True,6,True,False,False,nan,Parenting & Relationships,92380,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92388,B087Q48SDS,The Organised Time Technique: How to Get Your Life Running Like Clockwork,Gemma Bray,Hachette Book Group,https://m.media-amazon.com/images/I/81LEdN5DgdL._AC_UY218_.jpg,https://www.amazon.com/dp/B087Q48SDS,4.5,1014,4.99,False,6,False,False,False,2020-09-24,Parenting & Relationships,92389,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92395,B0056N1ZXW,How Not to Become a Crotchety Old Man,Mary McHugh,Amazon.com Services LLC,https://m.media-amazon.com/images/I/71c305EuedL._AC_UY218_.jpg,https://www.amazon.com/dp/B0056N1ZXW,4.0,3597,8.2,True,6,False,False,False,2022-05-24,Parenting & Relationships,92396,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92397,B084WS6NYJ,Not To Blame - Maggie Hartley ebook short: The shocking true story of a teenager with a tragic hidden past (A Maggie Hartley Foster Carer Story),Maggie Hartley,Hachette Book Group,https://m.media-amazon.com/images/I/81bKc5cdLIL._AC_UY218_.jpg,https://www.amazon.com/dp/B084WS6NYJ,4.6,1980,0.0,False,6,False,False,False,nan,Parenting & Relationships,92398,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92405,B01A5VQTYY,Juniper: The Girl Who Was Born Too Soon,Thomas French,Hachette Book Group,https://m.media-amazon.com/images/I/81ObJuDIUDL._AC_UY218_.jpg,https://www.amazon.com/dp/B01A5VQTYY,4.6,847,11.99,False,6,False,True,False,2016-09-13,Parenting & Relationships,92406,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92407,B0842RBWD3,Anxious Ninja: A Children's Book About Overcoming Anxiety (Ninja Life Hacks 11),Mary Nhin,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81MtDbv26XS._AC_UY218_.jpg,https://www.amazon.com/dp/B0842RBWD3,4.6,1855,5.99,True,6,False,False,False,nan,Parenting & Relationships,92408,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92411,B092QVN5G3,Let's Talk About the Birds and the Bees: A Let’s Talk picture book to start conversations with children about the facts of life (From how babies are made to puberty and healthy relationships),Molly Potter,Amazon.com Services LLC,https://m.media-amazon.com/images/I/A1HjH585C3L._AC_UY218_.jpg,https://www.amazon.com/dp/B092QVN5G3,4.7,493,12.99,False,6,False,False,False,nan,Parenting & Relationships,92412,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92424,B096DVPD36,Run Towards the Danger: Confrontations with a Body of Memory,Sarah Polley,nan,https://m.media-amazon.com/images/I/71Zx0AdgTfL._AC_UY218_.jpg,https://www.amazon.com/dp/B096DVPD36,4.6,1027,0.0,False,6,False,True,False,2022-03-01,Parenting & Relationships,92425,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92440,B0BF91JZBX,"Hunter: A gripping, addictive thriller from Ross Greenwood, author of The Santa Killer, for 2023",Ross Greenwood,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81XD3Hgzu4L._AC_UY218_.jpg,https://www.amazon.com/dp/B0BF91JZBX,3.8,1716,2.99,True,6,False,False,False,2022-12-05,Parenting & Relationships,92441,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92448,B09GF3LB5F,You're Going To Be A Dad!: The New Dad's Guide To Pregnancy and The First Year of Fatherhood,DaddiLife Books,Amazon.com Services LLC,https://m.media-amazon.com/images/I/813R3yTFDiL._AC_UY218_.jpg,https://www.amazon.com/dp/B09GF3LB5F,4.7,647,9.99,True,6,False,False,False,2021-09-14,Parenting & Relationships,92449,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92458,B08SMN9P61,"If In Doubt, Wash Your Hair: A Manual for Life",Anya Hindmarch,nan,https://m.media-amazon.com/images/I/71n+26r7OyL._AC_UY218_.jpg,https://www.amazon.com/dp/B08SMN9P61,4.3,488,0.0,False,6,False,False,False,2021-05-06,Parenting & Relationships,92459,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92459,B003062GNA,Giving up the Ghost: A memoir,Hilary Mantel,nan,https://m.media-amazon.com/images/I/81hx6dH2REL._AC_UY218_.jpg,https://www.amazon.com/dp/B003062GNA,4.3,1323,0.0,False,6,False,False,False,2009-12-17,Parenting & Relationships,92460,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92461,B083VRYBQY,Get Out of My Life: The bestselling guide to the twenty-first-century teenager,Suzanne Franks,nan,https://m.media-amazon.com/images/I/71uRE3qzRlL._AC_UY218_.jpg,https://www.amazon.com/dp/B083VRYBQY,4.4,1466,0.0,False,6,False,False,False,2020-07-02,Parenting & Relationships,92462,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92463,B07J5P9M6M,Nathan's Autism Spectrum Superpowers (One Three Nine Inspired Book 1),Lori Yarborough,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81nBlaGj0tL._AC_UY218_.jpg,https://www.amazon.com/dp/B07J5P9M6M,4.7,715,6.99,True,6,False,False,False,nan,Parenting & Relationships,92464,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92474,B00GUTB6XA,Be the Dad She Needs You to Be: The Indelible Imprint a Father Leaves on His Daughter's Life,Kevin Leman,HarperCollins Publishing,https://m.media-amazon.com/images/I/71rIcOtsZdL._AC_UY218_.jpg,https://www.amazon.com/dp/B00GUTB6XA,4.6,484,13.99,False,6,False,False,False,2014-05-20,Parenting & Relationships,92475,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
