,price,ranks,title,no_of_reviews,ratings,author,cover_type,year,genre
621,25.99,30.0,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),14418.0,4.6,Thug Kitchen,Hardcover,2015,Non Fiction
622,6.9,31.0,Giraffes Can't Dance,28447.0,4.8,Giles Andreae,Board book,2015,Fiction
623,9.67,32.0,Wonder,35698.0,4.8,R. J. Palacio,Hardcover,2015,Fiction
624,17.99,33.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,9187.0,4.7,Stephen R. Covey,Paperback,2015,Non Fiction
625,7.74,34.0,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),86676.0,4.7,Don Miguel Ruiz,Paperback,2015,Non Fiction
626,16.0,35.0,Being Mortal: Medicine and What Matters in the End,19284.0,4.8,Atul Gawande,Hardcover,2015,Non Fiction
627,4.98,36.0,Love You Forever,53161.0,4.9,Robert Munsch,Paperback,2015,Fiction
628,4.93,37.0,The Very Hungry Caterpillar,54008.0,4.9,Eric Carle,Board book,2015,Fiction
629,24.29,38.0,"Publication Manual of the American Psychological Association, 6th Edition",12674.0,4.5,American Psychological Association,Paperback,2015,Non Fiction
630,12.92,39.0,Between the World and Me,20038.0,4.7,Ta-Nehisi Coates,Hardcover,2015,Non Fiction
631,5.67,40.0,Baby Touch and Feel: Animals,10680.0,4.7,DK,Board book,2015,Non Fiction
632,9.9,41.0,The Book with No Pictures,16882.0,4.8,B. J. Novak,Hardcover,2015,Fiction
633,14.5,42.0,The Wright Brothers,7924.0,4.7,David McCullough,Hardcover,2015,Non Fiction
634,5.38,43.0,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),2601.0,4.6,Marty Noble,Paperback,2015,Non Fiction
635,16.26,44.0,The Nightingale: A Novel,99932.0,4.8,Kristin Hannah,Hardcover,2015,Fiction
636,14.44,45.0,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve Supper",8083.0,4.8,Ree Drummond,Hardcover,2015,Non Fiction
637,8.73,46.0,What Pet Should I Get? (Classic Seuss),6169.0,4.8,Dr. Seuss,Hardcover,2015,Fiction
638,19.39,47.0,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),6646.0,4.7,Bill O'Reilly,Hardcover,2015,Non Fiction
639,14.39,48.0,Harry Potter Coloring Book,10136.0,4.8,Scholastic,Paperback,2015,Non Fiction
640,9.99,49.0,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,19371.0,4.6,Chris Kyle,Paperback,2015,Non Fiction
641,14.68,50.0,The Whole30: The 30-Day Guide to Total Health and Food Freedom,15554.0,4.6,Melissa Hartwig Urban,Hardcover,2015,Non Fiction
642,5.71,51.0,Diary of a Minecraft Zombie Book 1: A Scare of A Dare,12855.0,4.7,Zack Zombie,Paperback,2015,Fiction
643,6.79,52.0,The Great Gatsby: The Only Authorized Edition,18656.0,4.5,F. Scott Fitzgerald,Paperback,2015,Fiction
644,14.95,53.0,Lost Ocean: An Inky Adventure and Coloring Book for Adults,8066.0,4.7,Johanna Basford,Paperback,2015,Non Fiction
645,20.72,54.0,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",6296.0,4.6,Patrick Lencioni,Hardcover,2015,Non Fiction
646,41.0,55.0,The Official SAT Study Guide,1526.0,4.4,The College Board,Paperback,2015,Non Fiction
647,9.05,56.0,10-Day Green Smoothie Cleanse,32825.0,4.7,JJ Smith,Paperback,2015,Non Fiction
648,6.92,57.0,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,29674.0,4.7,Brené Brown,Paperback,2015,Non Fiction
649,4.59,58.0,Chicka Chicka Boom Boom (Board Book),33598.0,4.9,Bill Martin Jr.,Board book,2015,Fiction
650,13.64,59.0,The Day the Crayons Came Home,5389.0,4.9,Drew Daywalt,Hardcover,2015,Fiction
651,13.3,60.0,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,18840.0,4.7,Randall Munroe,Hardcover,2015,Non Fiction
652,7.68,61.0,Paper Towns,10316.0,4.4,John Green,Paperback,2015,Fiction
653,12.79,62.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",33629.0,4.8,Laura Hillenbrand,Paperback,2015,Non Fiction
654,12.0,63.0,Get What's Yours: The Secrets to Maxing Out Your Social Security (The Get What's Yours Series),3094.0,4.2,Laurence J. Kotlikoff,Hardcover,2015,Non Fiction
655,11.46,64.0,"Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer (Magnus Chase and the Gods of Asgard, 1)",7465.0,4.7,Rick Riordan,Hardcover,2015,Fiction
656,8.95,65.0,Dragons Love Tacos,15753.0,4.8,Adam Rubin,Hardcover,2015,Fiction
657,8.29,66.0,Fahrenheit 451,34955.0,4.6,Ray Bradbury,Paperback,2015,Fiction
658,9.48,67.0,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",24552.0,4.8,Valorie Schaefer,Paperback,2015,Non Fiction
659,7.99,68.0,Potty (Leslie Patricelli board books),12933.0,4.7,Leslie Patricelli,Board book,2015,Fiction
660,22.49,69.0,Thing Explainer: Complicated Stuff in Simple Words,3834.0,4.6,Randall Munroe,Hardcover,2015,Non Fiction
661,19.71,70.0,Dead Wake: The Last Crossing of the Lusitania,11006.0,4.6,Erik Larson,Hardcover,2015,Non Fiction
662,3.97,71.0,The Going-To-Bed Book,15393.0,4.8,Sandra Boynton,Board book,2015,Fiction
663,12.88,72.0,"Inspiralized: Turn Vegetables into Healthy, Creative, Satisfying Meals: A Cookbook",3754.0,4.4,Ali Maffucci,Paperback,2015,Non Fiction
664,3.99,73.0,Mystical Mandala Coloring Book (Dover Mandala Coloring Books),2944.0,4.5,Alberta Hutchinson,Paperback,2015,Non Fiction
665,144.0,74.0,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",12114.0,4.7,American Psychiatric Association,Paperback,2015,Non Fiction
666,6.99,75.0,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,4838.0,4.6,DK,Paperback,2015,Fiction
667,12.74,76.0,The 20/20 Diet: Turn Your Weight Loss Vision Into Reality,8313.0,4.0,Phil McGraw,Hardcover,2015,Non Fiction
668,5.49,77.0,Night (Night),8573.0,4.7,Elie Wiesel,Paperback,2015,Non Fiction
669,18.0,78.0,What to Expect When You're Expecting,29389.0,4.8,Heidi Murkoff,Paperback,2015,Non Fiction
